"","X","Date","Stream","Reach","Transect","Quadrat","Order","Family","Count","Size"
"1",1,"2/26/2022","NM",1,5,2,"Ephemeroptera","Heptageniidae",1,5
"2",2,"2/26/2022","NM",1,5,2,"Ephemeroptera","Baetidae",1,5
"3",3,"2/26/2022","NM",1,5,2,"Plecoptera","Capniidae",1,5
"4",4,"2/26/2022","NM",1,3,1,"Ephemeroptera","Heptageniidae",1,5
"5",5,"2/26/2022","NM",1,3,1,"Plecoptera","Perlidae ",1,5
"6",6,"2/26/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,1
"7",7,"2/26/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,5
"8",8,"2/26/2022","NM",4,1,1,"Ephemeroptera","Ephemerellidae",1,5
"9",9,"3/10/2022","NM",4,2,1,"Plecoptera","Perlidae ",1,10
"10",10,"3/11/2022","NM",5,1,2,"Plecoptera","Perlidae ",1,10
"11",11,"3/11/2022","NM",5,1,2,"Ephemeroptera","Heptageniidae",1,5
"12",12,"3/11/2022","NM",5,1,2,"Ephemeroptera","Heptageniidae",1,5
"13",13,"3/11/2022","NM",5,1,2,"Ephemeroptera","Ephemeridae",1,1
"14",14,"3/10/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,10
"15",15,"3/10/2022","NM",4,1,1,"Ephemeroptera","Heptageniidae",1,5
"16",16,"3/10/2022","NM",4,1,1,"Plecoptera","Perlodidae",1,5
"17",17,"3/10/2022","NM",4,1,1,"Ephemeroptera","Baetidae",1,5
"18",18,"3/10/2022","NM",4,1,1,"Ephemeroptera","Baetidae",1,5
"19",19,"3/10/2022","NM",1,3,1,"Ephemeroptera","Heptageniidae",1,10
"20",20,"3/10/2022","NM",1,3,1,"Plecoptera","Perlodidae",1,5
"21",21,"3/10/2022","NM",1,3,1,"Ephemeroptera","Leptophlebiidae",1,5
"22",22,"3/10/2022","NM",1,3,1,"Ephemeroptera","Leptophlebiidae",1,5
"23",23,"3/10/2022","NM",1,3,1,"Trichoptera","Hydropsychidae",1,5
"24",24,"3/10/2022","NM",1,3,1,"Trichoptera","Hydropsychidae",1,5
"25",25,"3/10/2022","NM",1,3,1,"Trichoptera","Rhyacophilidae",1,5
"26",26,"3/11/2022","NM",3,3,2,"Plecoptera","Perlidae ",1,10
"27",27,"3/11/2022","NM",3,3,2,"Ephemeroptera","Leptophlebiidae",1,5
"28",28,"3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,5
"29",29,"3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,1
"30",30,"3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,5
"31",31,"3/11/2022","NM",3,3,2,"Ephemeroptera","Heptageniidae",1,5
"32",32,"3/11/2022","NM",3,3,2,"Plecoptera","Perlodidae",1,5
"33",33,"3/11/2022","NM",3,3,2,"Ephemeroptera","Baetidae",1,5
"34",34,"3/11/2022","NM",5,2,2,"Plecoptera","Perlodidae",1,5
"35",35,"3/11/2022","NM",5,2,2,"Ephemeroptera","Heptageniidae",1,1
"36",36,"3/11/2022","NM",5,5,1,"Ephemeroptera","Heptageniidae",1,5
"37",37,"3/11/2022","NM",5,5,1,"Ephemeroptera","Heptageniidae",1,5
"38",38,"3/11/2022","NM",5,5,1,"Ephemeroptera","Heptageniidae",1,5
"39",39,"3/11/2022","NM",5,5,1,"Ephemeroptera","Heptageniidae",1,1
"40",40,"3/11/2022","NM",5,5,1,"Ephemeroptera","Leptophlebiidae",1,5
"41",41,"3/11/2022","NM",5,5,1,"Plecoptera","Capniidae",1,5
"42",42,"3/11/2022","NM",5,5,1,"Plecoptera","Perlodidae",1,5
"43",43,"3/11/2022","NM",5,3,1,"Plecoptera","Perlodidae",1,5
"44",44,"3/11/2022","NM",5,3,1,"Plecoptera","Perlodidae",1,1
"45",45,"3/10/2022","NM",1,3,2,"Ephemeroptera","Heptageniidae",1,10
"46",46,"3/10/2022","NM",1,3,2,"Ephemeroptera","Heptageniidae",1,10
"47",47,"3/10/2022","NM",1,3,2,"Ephemeroptera","Heptageniidae",1,5
"48",48,"3/10/2022","NM",1,3,2,"Trichoptera","Hydropsychidae",1,5
"49",49,"3/10/2022","NM",4,4,2,"Ephemeroptera","Baetidae",1,5
"50",50,"3/10/2022","NM",4,4,2,"Ephemeroptera","Baetidae",1,1
"51",51,"3/10/2022","NM",4,4,2,"Ephemeroptera","Heptageniidae",1,5
"52",52,"3/10/2022","NM",4,4,2,"Ephemeroptera","Heptageniidae",1,1
"53",53,"3/10/2022","NM",4,4,2,"Ephemeroptera","Heptageniidae",1,5
"54",54,"3/10/2022","NM",4,4,2,"Plecoptera","Perlodidae",1,5
"55",55,"3/10/2022","NM",4,4,2,"Plecoptera","Perlodidae",1,5
"56",56,"3/11/2022","NM",3,5,2,"Ephemeroptera","Heptageniidae",1,5
"57",57,"3/11/2022","NM",3,5,2,"Ephemeroptera","Heptageniidae",1,5
"58",58,"3/11/2022","NM",3,5,2,"Ephemeroptera","Heptageniidae",1,5
"59",59,"3/11/2022","NM",3,5,2,"Ephemeroptera","Baetidae",1,5
